loan_id,borrower_id,borrower_name,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
LN-1255,BW-755,Lisa Martinez,VA,2023-12-23,2053-12-23,524000,519705,5.94,360,VA,PURCHASE,A,2 years,$50k-$75k,CURRENT,0,Chase Home Lending,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1256,BW-756,Linda Ramirez,VA,2022-03-19,2052-03-19,232000,223217,4.86,360,WI,PURCHASE,C,5 years,$75k-$100k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1257,BW-757,Susan Ramirez,CONVENTIONAL,2022-07-22,2052-07-22,249000,242663,6.21,360,MA,PURCHASE,B,8 years,$50k-$75k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1258,BW-758,Margaret Wright,CONVENTIONAL,2022-03-21,2052-03-21,639000,623515,7.34,360,VA,PURCHASE,C,7 years,$100k-$150k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1259,BW-759,Sandra Nguyen,USDA,2023-06-22,2053-06-22,421000,415428,6.45,360,CA,PURCHASE,B,3 years,$75k-$100k,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1260,BW-760,Lisa Smith,VA,2023-09-17,2053-09-17,377000,372581,5.77,360,OR,PURCHASE,A,11 years,$50k-$75k,CURRENT,0,Chase Home Lending,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1261,BW-761,Patricia Martin,VA,2023-04-07,2053-04-07,220000,215541,4.88,360,WA,PURCHASE,B,7 years,$100k-$150k,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1262,BW-762,Patricia Wilson,USDA,2022-01-18,2052-01-18,350000,341584,7.77,360,FL,PURCHASE,D,5 years,$75k-$100k,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1263,BW-763,Paul Sanchez,VA,2023-03-19,2053-03-19,606000,595519,6.1,360,PA,PURCHASE,D,6 years,$50k-$75k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1264,BW-764,Joseph Taylor,FHA,2021-08-28,2051-08-28,193000,184680,5.45,360,NC,PURCHASE,A,8 years,$150k+,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1265,BW-765,David Ramirez,CONVENTIONAL,2023-07-05,2053-07-05,298000,294536,6.73,360,IN,PURCHASE,B,12 years,$50k-$75k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1266,BW-766,Ashley Hernandez,FHA,2022-11-18,2052-11-18,361000,354053,6.72,360,WI,PURCHASE,C,4 years,$75k-$100k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1267,BW-767,Matthew Davis,FHA,2021-01-18,2051-01-18,172000,165458,7.27,360,OR,PURCHASE,B,3 years,$100k-$150k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1268,BW-768,Mark Brown,FHA,2023-04-25,2053-04-25,513000,502304,4.72,360,FL,PURCHASE,B,9 years,$75k-$100k,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1269,BW-769,Donald Williams,FHA,2023-05-01,2053-05-01,514000,505675,5.75,360,CO,PURCHASE,A,7 years,$100k-$150k,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1270,BW-770,Christopher King,JUMBO,2023-08-15,2053-08-15,554000,545267,4.63,360,MA,PURCHASE,C,6 years,$75k-$100k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1271,BW-771,Donald Garcia,FHA,2022-12-19,2052-12-19,262000,256407,5.88,360,MO,PURCHASE,C,2 years,$100k-$150k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1272,BW-772,Emily Brown,CONVENTIONAL,2022-10-24,2052-10-24,497000,484280,5.43,360,CA,PURCHASE,B,11 years,$150k+,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1273,BW-773,Michael Robinson,VA,2023-08-10,2053-08-10,406000,402124,7.32,360,NY,PURCHASE,C,5 years,$100k-$150k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1274,BW-774,Andrew Williams,VA,2023-06-17,2053-06-17,584000,575823,6.15,360,GA,PURCHASE,A,8 years,$150k+,CURRENT,0,Chase Home Lending,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1275,BW-775,Elizabeth Perez,VA,2023-07-21,2053-07-21,174000,171188,4.95,360,IN,PURCHASE,D,2 years,$150k+,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1276,BW-776,Patricia Harris,FHA,2023-06-10,2053-06-10,462000,454558,5.39,360,WI,PURCHASE,D,7 years,$100k-$150k,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1277,BW-777,Matthew Garcia,CONVENTIONAL,2022-11-05,2052-11-05,511000,496352,4.51,360,TX,PURCHASE,A,2 years,$50k-$75k,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1278,BW-778,Nancy Walker,JUMBO,2022-08-24,2052-08-24,184000,180263,7.19,360,WA,PURCHASE,C,7 years,$100k-$150k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1279,BW-779,Anthony Clark,USDA,2021-12-20,2051-12-20,535000,511653,4.64,360,IL,PURCHASE,C,11 years,$150k+,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1280,BW-780,William White,VA,2021-08-08,2051-08-08,515000,498205,7.02,360,IL,PURCHASE,C,10 years,$50k-$75k,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1281,BW-781,Anthony Clark,FHA,2021-01-24,2051-01-24,516000,485432,4.71,360,NY,PURCHASE,A,5 years,$100k-$150k,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1282,BW-782,Ashley Garcia,VA,2022-02-04,2052-02-04,205000,197227,5.06,360,NY,PURCHASE,A,4 years,$75k-$100k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1283,BW-783,Joshua Martin,CONVENTIONAL,2023-01-07,2053-01-07,428000,420394,6.58,360,MD,PURCHASE,B,10 years,$100k-$150k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1284,BW-784,Susan Torres,USDA,2021-08-18,2051-08-18,320000,304377,4.72,360,NC,PURCHASE,B,8 years,$100k-$150k,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1285,BW-785,Christopher Hernandez,USDA,2023-03-02,2053-03-02,175000,171297,4.99,360,LA,PURCHASE,D,3 years,$50k-$75k,CURRENT,0,Chase Home Lending,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1286,BW-786,Richard Thomas,VA,2023-09-14,2053-09-14,261000,257981,5.84,360,VA,PURCHASE,D,9 years,$75k-$100k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1287,BW-787,Matthew Hill,VA,2021-03-15,2051-03-15,553000,533783,7.47,360,CO,PURCHASE,B,12 years,$50k-$75k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1288,BW-788,William Sanchez,FHA,2022-09-16,2052-09-16,388000,377025,5.13,360,MA,PURCHASE,A,3 years,$75k-$100k,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1289,BW-789,William Clark,FHA,2022-02-25,2052-02-25,476000,464470,7.54,360,GA,PURCHASE,C,7 years,$100k-$150k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1290,BW-790,Donna Scott,JUMBO,2023-11-19,2053-11-19,172000,170894,7.82,360,WA,PURCHASE,D,3 years,$50k-$75k,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1291,BW-791,Kimberly Johnson,CONVENTIONAL,2022-08-23,2052-08-23,189000,185226,7.28,360,MD,PURCHASE,B,8 years,$50k-$75k,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1292,BW-792,Michelle Wright,FHA,2023-05-09,2053-05-09,549000,537886,4.51,360,NJ,PURCHASE,A,9 years,$50k-$75k,CURRENT,0,Chase Home Lending,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1293,BW-793,Richard Hernandez,VA,2021-02-24,2051-02-24,334000,317254,5.55,360,WA,PURCHASE,C,12 years,$150k+,CURRENT,0,Chase Home Lending,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1294,BW-794,Charles Hill,USDA,2021-12-26,2051-12-26,582000,565270,7,360,AZ,PURCHASE,C,6 years,$150k+,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1295,BW-795,David Martin,FHA,2021-02-11,2051-02-11,363000,343848,5.25,360,OK,PURCHASE,B,3 years,$50k-$75k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1296,BW-796,William Miller,VA,2022-04-09,2052-04-09,457000,444362,6.42,360,CA,PURCHASE,B,11 years,$150k+,CURRENT,0,Chase Home Lending,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1297,BW-797,Elizabeth Wright,VA,2022-02-26,2052-02-26,155000,151439,7.82,360,WA,PURCHASE,D,10 years,$50k-$75k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1298,BW-798,David Flores,VA,2021-04-23,2051-04-23,380000,358625,4.55,360,CO,PURCHASE,A,6 years,$75k-$100k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1299,BW-799,Donna Scott,VA,2021-01-06,2051-01-06,496000,471506,5.79,360,SC,PURCHASE,C,6 years,$100k-$150k,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1300,BW-800,Karen Walker,CONVENTIONAL,2022-04-19,2052-04-19,424000,412124,6.35,360,AZ,PURCHASE,C,10 years,$50k-$75k,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1301,BW-801,Linda Jackson,VA,2021-07-14,2051-07-14,615000,591424,6.29,360,LA,PURCHASE,C,2 years,$150k+,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1302,BW-802,David Walker,FHA,2021-08-09,2051-08-09,171000,163552,5.39,360,IL,PURCHASE,A,2 years,$100k-$150k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1303,BW-803,Donald White,JUMBO,2022-10-13,2052-10-13,600000,583162,4.91,360,MN,PURCHASE,B,8 years,$75k-$100k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1304,BW-804,Christopher King,JUMBO,2021-05-27,2051-05-27,312000,301077,7.12,360,IL,PURCHASE,A,4 years,$75k-$100k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1305,BW-805,Ashley Brown,USDA,2022-09-20,2052-09-20,262000,257133,7.42,360,OR,PURCHASE,B,8 years,$150k+,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1306,BW-806,Daniel Martin,FHA,2021-12-25,2051-12-25,648000,624164,5.63,360,MD,PURCHASE,B,9 years,$75k-$100k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1307,BW-807,Patricia Nguyen,FHA,2023-05-14,2053-05-14,444000,436540,5.55,360,MO,PURCHASE,C,6 years,$50k-$75k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1308,BW-808,Richard Gonzalez,CONVENTIONAL,2021-05-28,2051-05-28,431000,407797,4.65,360,NV,PURCHASE,D,9 years,$100k-$150k,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1309,BW-809,Matthew Jackson,JUMBO,2021-08-01,2051-08-01,554000,526998,4.73,360,PA,PURCHASE,A,10 years,$75k-$100k,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1310,BW-810,Mary Flores,VA,2021-04-23,2051-04-23,176000,169943,7.37,360,NC,PURCHASE,C,11 years,$75k-$100k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1311,BW-811,Steven Martin,JUMBO,2022-02-27,2052-02-27,153000,148573,6.58,360,CT,PURCHASE,B,9 years,$50k-$75k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1312,BW-812,Jennifer Young,JUMBO,2022-12-19,2052-12-19,442000,435062,7.52,360,FL,PURCHASE,A,2 years,$50k-$75k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1313,BW-813,Richard Hill,JUMBO,2023-11-20,2053-11-20,298000,294829,5.18,360,TX,PURCHASE,C,12 years,$75k-$100k,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1314,BW-814,Patricia Allen,USDA,2022-12-24,2052-12-24,625000,612649,6.3,360,NV,PURCHASE,A,3 years,$75k-$100k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1315,BW-815,Karen Jones,JUMBO,2023-11-10,2053-11-10,315000,311983,5.75,360,WA,PURCHASE,B,4 years,$100k-$150k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1316,BW-816,Joshua Anderson,CONVENTIONAL,2023-05-13,2053-05-13,614000,603086,5.24,360,LA,PURCHASE,A,11 years,$50k-$75k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1317,BW-817,John Sanchez,FHA,2023-12-02,2053-12-02,464000,460882,6.98,360,WA,PURCHASE,C,8 years,$75k-$100k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1318,BW-818,Steven Smith,VA,2022-04-16,2052-04-16,427000,412032,5.09,360,OK,PURCHASE,C,11 years,$150k+,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1319,BW-819,Sandra Williams,CONVENTIONAL,2022-03-24,2052-03-24,434000,421307,6.32,360,UT,PURCHASE,D,6 years,$150k+,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1320,BW-820,Charles Miller,FHA,2023-05-27,2053-05-27,563000,556602,7.62,360,IL,PURCHASE,D,11 years,$100k-$150k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1321,BW-821,Nancy Anderson,FHA,2021-04-20,2051-04-20,602000,569244,4.75,360,OH,PURCHASE,D,4 years,$150k+,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1322,BW-822,Steven Taylor,FHA,2022-12-13,2052-12-13,153000,150575,7.47,360,AZ,PURCHASE,D,6 years,$150k+,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1323,BW-823,Barbara Smith,CONVENTIONAL,2023-05-07,2053-05-07,427000,419314,5.17,360,NJ,PURCHASE,C,8 years,$150k+,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1324,BW-824,Kimberly Miller,VA,2023-12-25,2053-12-25,365000,362396,6.67,360,FL,PURCHASE,B,11 years,$150k+,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1325,BW-825,Donald Scott,CONVENTIONAL,2023-08-21,2053-08-21,472000,467865,7.76,360,MO,PURCHASE,A,2 years,$150k+,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1326,BW-826,Andrew Anderson,CONVENTIONAL,2021-09-09,2051-09-09,157000,149687,4.82,360,SC,PURCHASE,D,5 years,$100k-$150k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1327,BW-827,Anthony Garcia,JUMBO,2022-01-13,2052-01-13,537000,515438,4.93,360,CA,PURCHASE,A,9 years,$150k+,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1328,BW-828,Jessica Wilson,CONVENTIONAL,2022-02-24,2052-02-24,448000,432597,5.62,360,AL,PURCHASE,C,5 years,$75k-$100k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1329,BW-829,Robert Young,VA,2021-10-14,2051-10-14,346000,335251,6.94,360,NJ,PURCHASE,B,12 years,$75k-$100k,CURRENT,0,Chase Home Lending,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1330,BW-830,Sandra Flores,JUMBO,2023-04-28,2053-04-28,473000,464596,5.61,360,CO,PURCHASE,D,10 years,$50k-$75k,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1331,BW-831,Barbara Hill,CONVENTIONAL,2021-04-27,2051-04-27,594000,570088,6.5,360,CT,PURCHASE,D,11 years,$100k-$150k,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1332,BW-832,Patricia Ramirez,FHA,2022-03-02,2052-03-02,633000,608869,4.82,360,OK,PURCHASE,D,12 years,$150k+,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1333,BW-833,Mark Anderson,VA,2021-01-01,2051-01-01,213000,200151,4.6,360,MI,PURCHASE,B,5 years,$75k-$100k,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1334,BW-834,Joshua Young,USDA,2023-04-21,2053-04-21,579000,571363,7.2,360,CO,PURCHASE,B,8 years,$50k-$75k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1335,BW-835,Charles Gonzalez,JUMBO,2023-02-21,2053-02-21,541000,530292,5.69,360,AL,PURCHASE,B,6 years,$75k-$100k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1336,BW-836,Matthew Hill,VA,2023-06-09,2053-06-09,345000,339967,5.93,360,LA,PURCHASE,C,5 years,$100k-$150k,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1337,BW-837,Michelle Ramirez,VA,2022-09-27,2052-09-27,379000,372053,7.49,360,NC,PURCHASE,A,12 years,$75k-$100k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1338,BW-838,Joshua Jackson,FHA,2022-09-08,2052-09-08,612000,601120,7.65,360,MA,PURCHASE,C,6 years,$100k-$150k,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1339,BW-839,Charles Sanchez,CONVENTIONAL,2021-12-22,2051-12-22,529000,514694,7.33,360,OK,PURCHASE,B,10 years,$100k-$150k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1340,BW-840,Thomas Allen,CONVENTIONAL,2021-05-13,2051-05-13,502000,482802,6.63,360,CA,PURCHASE,B,10 years,$150k+,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1341,BW-841,Anthony Martinez,VA,2022-05-26,2052-05-26,401000,386329,4.62,360,CT,PURCHASE,C,8 years,$50k-$75k,CURRENT,0,Chase Home Lending,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1342,BW-842,Daniel Taylor,FHA,2021-03-19,2051-03-19,295000,279866,5.26,360,NJ,PURCHASE,B,6 years,$50k-$75k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1343,BW-843,Steven Thompson,CONVENTIONAL,2022-06-08,2052-06-08,417000,402761,4.79,360,CT,PURCHASE,B,7 years,$75k-$100k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1344,BW-844,William Thompson,USDA,2021-06-10,2051-06-10,542000,515019,4.95,360,WI,PURCHASE,D,3 years,$50k-$75k,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1345,BW-845,Andrew Miller,CONVENTIONAL,2023-04-23,2053-04-23,567000,554819,4.55,360,NJ,PURCHASE,C,12 years,$50k-$75k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1346,BW-846,Steven Gonzalez,CONVENTIONAL,2021-09-14,2051-09-14,428000,409571,5.28,360,GA,PURCHASE,B,10 years,$100k-$150k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1347,BW-847,Charles Moore,CONVENTIONAL,2023-11-08,2053-11-08,490000,485902,6.47,360,WA,PURCHASE,A,10 years,$75k-$100k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1348,BW-848,Emily Garcia,JUMBO,2021-06-06,2051-06-06,588000,562078,5.66,360,NJ,PURCHASE,B,5 years,$50k-$75k,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1349,BW-849,Anthony Sanchez,USDA,2023-01-25,2053-01-25,548000,536668,5.76,360,IL,PURCHASE,C,4 years,$150k+,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1350,BW-850,Susan Sanchez,FHA,2022-09-28,2052-09-28,498000,485137,5.64,360,OH,PURCHASE,D,2 years,$75k-$100k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1351,BW-851,Michael Hernandez,JUMBO,2022-03-19,2052-03-19,600000,578954,5.3,360,KY,PURCHASE,D,3 years,$50k-$75k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1352,BW-852,Andrew Martinez,VA,2022-03-03,2052-03-03,622000,597713,4.68,360,TX,PURCHASE,D,7 years,$100k-$150k,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1353,BW-853,Christopher Nguyen,VA,2021-10-08,2051-10-08,545000,530096,7.63,360,FL,PURCHASE,B,11 years,$50k-$75k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1354,BW-854,William Moore,VA,2022-12-22,2052-12-22,217000,213116,6.83,360,CO,PURCHASE,D,11 years,$75k-$100k,CURRENT,0,Chase Home Lending,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1355,BW-855,Patricia Thomas,JUMBO,2021-12-09,2051-12-09,371000,354700,4.6,360,NJ,PURCHASE,B,10 years,$50k-$75k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1356,BW-856,Ashley Martin,CONVENTIONAL,2022-12-05,2052-12-05,244000,238298,5.38,360,NJ,PURCHASE,C,11 years,$150k+,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1357,BW-857,Susan Jackson,FHA,2023-05-24,2053-05-24,423000,416286,5.86,360,CT,PURCHASE,A,11 years,$50k-$75k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1358,BW-858,Lisa Jackson,JUMBO,2021-09-10,2051-09-10,494000,472249,5.15,360,MA,PURCHASE,D,3 years,$50k-$75k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1359,BW-859,Joseph Moore,CONVENTIONAL,2021-01-13,2051-01-13,342000,326541,6.3,360,OH,PURCHASE,D,5 years,$75k-$100k,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1360,BW-860,Thomas Young,JUMBO,2023-01-21,2053-01-21,447000,436919,5.28,360,UT,PURCHASE,B,6 years,$50k-$75k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1361,BW-861,Donald Ramirez,JUMBO,2022-02-02,2052-02-02,489000,473031,5.91,360,MA,PURCHASE,A,5 years,$50k-$75k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1362,BW-862,John Torres,CONVENTIONAL,2023-12-22,2053-12-22,486000,481707,5.54,360,MD,PURCHASE,D,9 years,$150k+,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1363,BW-863,Richard Wright,CONVENTIONAL,2022-03-10,2052-03-10,273000,265131,6.4,360,WI,PURCHASE,A,12 years,$50k-$75k,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
